run,scenario,channel,variant,first,detect,early,false,lead
101,abrupt,severity,severity_only,24.0,True,True,False,0.0
101,abrupt,severity,external_only,24.0,True,True,False,0.0
101,abrupt,severity,internal_only,24.0,True,True,False,0.0
101,abrupt,severity,prism,24.0,True,True,False,0.0
102,abrupt,severity,severity_only,24.0,True,True,False,0.0
102,abrupt,severity,external_only,24.0,True,True,False,0.0
102,abrupt,severity,internal_only,24.0,True,True,False,0.0
102,abrupt,severity,prism,24.0,True,True,False,0.0
103,abrupt,severity,severity_only,24.0,True,True,False,0.0
103,abrupt,severity,external_only,24.0,True,True,False,0.0
103,abrupt,severity,internal_only,24.0,True,True,False,0.0
103,abrupt,severity,prism,24.0,True,True,False,0.0
104,abrupt,severity,severity_only,24.0,True,True,False,0.0
104,abrupt,severity,external_only,24.0,True,True,False,0.0
104,abrupt,severity,internal_only,24.0,True,True,False,0.0
104,abrupt,severity,prism,24.0,True,True,False,0.0
105,abrupt,severity,severity_only,24.0,True,True,False,0.0
105,abrupt,severity,external_only,24.0,True,True,False,0.0
105,abrupt,severity,internal_only,24.0,True,True,False,0.0
105,abrupt,severity,prism,24.0,True,True,False,0.0
106,abrupt,severity,severity_only,24.0,True,True,False,0.0
106,abrupt,severity,external_only,24.0,True,True,False,0.0
106,abrupt,severity,internal_only,24.0,True,True,False,0.0
106,abrupt,severity,prism,24.0,True,True,False,0.0
107,abrupt,severity,severity_only,24.0,True,True,False,0.0
107,abrupt,severity,external_only,24.0,True,True,False,0.0
107,abrupt,severity,internal_only,24.0,True,True,False,0.0
107,abrupt,severity,prism,24.0,True,True,False,0.0
108,abrupt,severity,severity_only,24.0,True,True,False,0.0
108,abrupt,severity,external_only,24.0,True,True,False,0.0
108,abrupt,severity,internal_only,27.0,True,False,False,-3.0
108,abrupt,severity,prism,24.0,True,True,False,0.0
109,abrupt,severity,severity_only,24.0,True,True,False,0.0
109,abrupt,severity,external_only,24.0,True,True,False,0.0
109,abrupt,severity,internal_only,24.0,True,True,False,0.0
109,abrupt,severity,prism,24.0,True,True,False,0.0
110,abrupt,severity,severity_only,24.0,True,True,False,0.0
110,abrupt,severity,external_only,24.0,True,True,False,0.0
110,abrupt,severity,internal_only,20.0,False,False,True,
110,abrupt,severity,prism,20.0,False,False,True,
